bid,bname,taxa,
ENA|FO082843|FO082843.1,Nocardia cyriacigeorgica GUH-2 chromosome complete genome [24-FEB-2017],Nocardia cyriacigeorgica,
ENA|AP006618|AP006618.1,Nocardia farcinica IFM 10152 DNA complete genome. [24-FEB-2017],Nocardia farcinica,
ENA|CP006850|CP006850.1,Nocardia nova SH22a complete genome. [24-FEB-2017],Nocardia nova,
ENA|CP000509|CP000509.1,Nocardioides sp. JS614 complete genome. [24-FEB-2017],Nocardioides sp. JS614,
ENA|CP003788|CP003788.1,Nocardiopsis alba ATCC BAA-2165 complete genome. [24-FEB-2017],Nocardiopsis alba,
ENA|CP002040|CP002040.1,Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111 chromosome 1 complete sequence. [24-FEB-2017],Nocardiopsis dassonvillei,
ENA|CP001397|CP001397.1,Nonlabens dokdonensis DSW-6 complete genome. [24-FEB-2017],Nonlabens dokdonensis,
ENA|CP001037|CP001037.1,Nostoc punctiforme PCC 73102 complete genome. [24-FEB-2017],Nostoc punctiforme,
ENA|CP003548|CP003548.1,Nostoc sp. PCC 7107 complete genome. [24-FEB-2017],Nostoc sp. PCC 7107,
ENA|BA000019|BA000019.2,Nostoc sp. PCC 7120 DNA complete genome. [24-FEB-2017],Nostoc sp. PCC 7120,
ENA|CP003552|CP003552.1,Nostoc sp. PCC 7524 complete genome. [24-FEB-2017],Nostoc sp. PCC 7524,
ENA|CP000248|CP000248.1,Novosphingobium aromaticivorans DSM 12444 complete genome. [24-FEB-2017],Novosphingobium aromaticivorans,
ENA|CP009291|CP009291.1,Novosphingobium pentaromativorans US6-1 complete genome. [24-FEB-2017],Novosphingobium pentaromativorans,
ENA|FR856862|FR856862.1,Novosphingobium sp. PP1Y main chromosome complete replicon [24-FEB-2017],Novosphingobium sp. PP1Y,
ENA|FR856861|FR856861.1,Novosphingobium sp. PP1Y Mpl megaplasmid complete replicon [24-FEB-2017],Novosphingobium sp. PP1Y,
ENA|CP003171|CP003171.1,Oceanimonas sp. GK1 complete genome. [24-FEB-2017],Oceanimonas sp. GK1,
ENA|CP002361|CP002361.1,Oceanithermus profundus DSM 14977 complete genome. [24-FEB-2017],Oceanithermus profundus,
ENA|BA000028|BA000028.3,Oceanobacillus iheyensis HTE831 DNA complete genome. [24-FEB-2017],Oceanobacillus iheyensis,
ENA|CP000758|CP000758.1,Ochrobactrum anthropi ATCC 49188 chromosome 1 complete sequence. [24-FEB-2017],Ochrobactrum anthropi,
ENA|CP000759|CP000759.1,Ochrobactrum anthropi ATCC 49188 chromosome 2 complete sequence. [24-FEB-2017],Ochrobactrum anthropi,
ENA|CP003740|CP003740.1,Octadecabacter antarcticus 307 complete genome. [24-FEB-2017],Octadecabacter antarcticus,
ENA|CP003742|CP003742.1,Octadecabacter arcticus 238 complete genome. [24-FEB-2017],Octadecabacter arcticus,
ENA|CP002544|CP002544.1,Odoribacter splanchnicus DSM 20712 complete genome. [24-FEB-2017],Odoribacter splanchnicus,
ENA|CP000411|CP000411.1,Oenococcus oeni PSU-1 complete genome. [24-FEB-2017],Oenococcus oeni,
ENA|CP002821|CP002821.1,Oligotropha carboxidovorans OM4 complete genome. [13-NOV-2015],Oligotropha carboxidovorans,
ENA|CP001196|CP001196.1,Oligotropha carboxidovorans OM5 strain OM5 complete genome. [24-FEB-2017],Oligotropha carboxidovorans,
ENA|CP002826|CP002826.1,Oligotropha carboxidovorans OM5 complete genome. [24-FEB-2017],Oligotropha carboxidovorans,
ENA|CP002106|CP002106.1,Olsenella uli DSM 7084 complete genome. [24-FEB-2017],Olsenella uli,
ENA|AB097150|AB097150.1,Onion yellows phytoplasma extrachromosomal DNA complete sequence. [13-NOV-2015],Onion yellows phytoplasma,
ENA|AP006628|AP006628.2,Onion yellows phytoplasma OY-M DNA complete genome. [24-FEB-2017],Onion yellows phytoplasma,
ENA|CP007053|CP007053.1,Opitutaceae bacterium TAV5 complete genome. [24-FEB-2017],Opitutaceae bacterium TAV5,
ENA|CP001032|CP001032.1,Opitutus terrae PB90-1 complete genome. [24-FEB-2017],Opitutus terrae,
ENA|AM494475|AM494475.1,Orientia tsutsugamushi Boryong complete genome [24-FEB-2017],Orientia tsutsugamushi,
ENA|AP008981|AP008981.1,Orientia tsutsugamushi str. Ikeda DNA complete genome. [24-FEB-2017],Orientia tsutsugamushi,
ENA|CP003283|CP003283.1,Ornithobacterium rhinotracheale DSM 15997 complete genome. [24-FEB-2017],Ornithobacterium rhinotracheale,
ENA|CP006828|CP006828.1,Ornithobacterium rhinotracheale ORT-UMN 88 complete genome. [13-NOV-2015],Ornithobacterium rhinotracheale,
ENA|CP003607|CP003607.1,Oscillatoria acuminata PCC 6304 complete genome. [24-FEB-2017],Oscillatoria acuminata,
ENA|CP003614|CP003614.1,Oscillatoria nigro-viridis PCC 7112 complete genome. [24-FEB-2017],Oscillatoria nigro-viridis,
ENA|AP012044|AP012044.1,Oscillibacter valericigenes Sjm18-20 DNA complete genome. [24-FEB-2017],Oscillibacter valericigenes,
ENA|CP003156|CP003156.1,Owenweeksia hongkongensis DSM 17368 complete genome. [24-FEB-2017],Owenweeksia hongkongensis,
ENA|CP011058|CP011058.1,Paenibacillus beijingensis strain DSM 24997 complete genome. [24-FEB-2017],Paenibacillus beijingensis,
ENA|CP009285|CP009285.1,Paenibacillus borealis strain DSM 13188 complete genome. [24-FEB-2017],Paenibacillus borealis,
ENA|CP009288|CP009288.1,Paenibacillus durus strain DSM 1735 complete genome. [24-FEB-2017],Paenibacillus durus,
ENA|CP009287|CP009287.1,Paenibacillus graminis strain DSM 15220 complete genome. [24-FEB-2017],Paenibacillus graminis,
ENA|CP003355|CP003355.1,Paenibacillus larvae subsp. larvae DSM 25430 complete genome. [24-FEB-2017],Paenibacillus larvae,
ENA|CP003235|CP003235.1,Paenibacillus mucilaginosus 3016 complete genome. [24-FEB-2017],Paenibacillus mucilaginosus,
ENA|CP003422|CP003422.2,Paenibacillus mucilaginosus K02 complete genome. [24-FEB-2017],Paenibacillus mucilaginosus,
ENA|CP002869|CP002869.1,Paenibacillus mucilaginosus KNP414 complete genome. [24-FEB-2017],Paenibacillus mucilaginosus,
ENA|CP009428|CP009428.1,Paenibacillus odorifer strain DSM 15391 complete genome. [27-FEB-2016],Paenibacillus odorifer,
ENA|CP010268|CP010268.1,Paenibacillus polymyxa strain Sb3-1 complete genome. [11-NOV-2016],Paenibacillus polymyxa,
ENA|CP006941|CP006941.1,Paenibacillus polymyxa CR1 complete genome. [24-FEB-2017],Paenibacillus polymyxa,
ENA|CP000154|CP000154.1,Paenibacillus polymyxa E681 complete genome. [24-FEB-2017],Paenibacillus polymyxa,
ENA|HE577054|HE577054.1,Paenibacillus polymyxa M1 main chromosome complete genome [11-NOV-2016],Paenibacillus polymyxa,
ENA|CP002213|CP002213.2,Paenibacillus polymyxa SC2 complete genome. [24-FEB-2017],Paenibacillus polymyxa,
ENA|CP006872|CP006872.1,Paenibacillus polymyxa SQR-21 complete genome. [13-NOV-2015],Paenibacillus polymyxa,
ENA|CP004078|CP004078.1,Paenibacillus sabinae T27 complete genome. [24-FEB-2017],Paenibacillus sabinae,
ENA|CP009241|CP009241.1,Paenibacillus sp. FSL H7-0357 complete genome. [24-FEB-2017],Paenibacillus sp. FSL H7-0357,
ENA|CP009279|CP009279.1,Paenibacillus sp. FSL H7-0737 complete genome. [24-FEB-2017],Paenibacillus sp. FSL H7-0737,
ENA|CP009280|CP009280.1,Paenibacillus sp. FSL P4-0081 complete genome. [24-FEB-2017],Paenibacillus sp. FSL P4-0081,
ENA|CP009281|CP009281.1,Paenibacillus sp. FSL R5-0345 complete genome. [24-FEB-2017],Paenibacillus sp. FSL R5-0345,
ENA|CP009282|CP009282.1,Paenibacillus sp. FSL R5-0912 complete genome. [24-FEB-2017],Paenibacillus sp. FSL R5-0912,
ENA|CP009283|CP009283.1,Paenibacillus sp. FSL R7-0273 complete genome. [24-FEB-2017],Paenibacillus sp. FSL R7-0273,
ENA|CP009284|CP009284.1,Paenibacillus sp. FSL R7-0331 complete genome. [24-FEB-2017],Paenibacillus sp. FSL R7-0331,
ENA|CP010976|CP010976.1,Paenibacillus sp. IHBB 10380 complete genome. [24-FEB-2017],Paenibacillus sp. IHBB 10380,
ENA|CP001656|CP001656.1,Paenibacillus sp. JDR-2 complete genome. [24-FEB-2017],Paenibacillus sp. JDR-2,
ENA|CP001793|CP001793.1,Paenibacillus sp. Y412MC10 complete genome. [24-FEB-2017],Paenibacillus sp. Y412MC10,
ENA|CP009286|CP009286.1,Paenibacillus stellifer strain DSM 14472 complete genome. [24-FEB-2017],Paenibacillus stellifer,
ENA|CP003107|CP003107.1,Paenibacillus terrae HPL-003 complete genome. [24-FEB-2017],Paenibacillus terrae,
ENA|CP002345|CP002345.1,Paludibacter propionicigenes WB4 complete genome. [24-FEB-2017],Paludibacter propionicigenes,
ENA|CP010518|CP010518.3,Pandoraea apista strain TF81F4 complete genome. [11-NOV-2016],Pandoraea apista,
ENA|CP011253|CP011253.3,Pandoraea oxalativorans strain DSM 23570 complete genome. [24-FEB-2017],Pandoraea oxalativorans,
ENA|CP009553|CP009553.3,Pandoraea pnomenusa strain DSM 16536 complete genome. [11-NOV-2016],Pandoraea pnomenusa,
ENA|CP006900|CP006900.1,Pandoraea pnomenusa 3kgm complete genome. [24-FEB-2017],Pandoraea pnomenusa,
ENA|CP010310|CP010310.2,Pandoraea pulmonicola strain DSM 16583 complete genome. [24-FEB-2017],Pandoraea pulmonicola,
ENA|CP010431|CP010431.2,Pandoraea sputorum strain DSM 21091 complete genome. [24-FEB-2017],Pandoraea sputorum,
ENA|AP012032|AP012032.2,Pantoea ananatis AJ13355 DNA complete genome. [24-FEB-2017],Pantoea ananatis,
ENA|HE617160|HE617160.1,Pantoea ananatis LMG 5342 main chromosome complete genome [11-NOV-2016],Pantoea ananatis,
ENA|CP001875|CP001875.2,Pantoea ananatis LMG 20103 complete genome. [24-FEB-2017],Pantoea ananatis,
ENA|CP003085|CP003085.1,Pantoea ananatis PA13 complete genome. [24-FEB-2017],Pantoea ananatis,
ENA|CP009454|CP009454.1,Pantoea rwandensis strain ND04 complete genome. [11-NOV-2016],Pantoea rwandensis,
ENA|CP002433|CP002433.1,Pantoea sp. At-9b complete genome. [24-FEB-2017],Pantoea sp. At-9b,
ENA|GQ249669|GQ249669.1,Pantoea stewartii subsp. stewartii DC283 pathogenicity island 2 genomic sequence. [24-FEB-2017],Pantoea stewartii,
ENA|CP002206|CP002206.1,Pantoea vagans C9-1 complete genome. [24-FEB-2017],Pantoea vagans,
ENA|CP000140|CP000140.1,Parabacteroides distasonis ATCC 8503 complete genome. [24-FEB-2017],Parabacteroides distasonis,
ENA|FR872580|FR872580.1,Parachlamydia acanthamoebae UV-7 complete genome [24-FEB-2017],Parachlamydia acanthamoebae,
ENA|CP006650|CP006650.1,Paracoccus aminophilus JCM 7686 complete genome. [24-FEB-2017],Paracoccus aminophilus,
ENA|CP000489|CP000489.1,Paracoccus denitrificans PD1222 chromosome 1 complete sequence. [24-FEB-2017],Paracoccus denitrificans,
ENA|CP000490|CP000490.1,Paracoccus denitrificans PD1222 chromosome 2 complete sequence. [24-FEB-2017],Paracoccus denitrificans,
ENA|AP012333|AP012333.1,Parascardovia denticolens DSM 10105 = JCM 12538 DNA complete genome. [11-NOV-2016],Parascardovia denticolens,
ENA|CP000774|CP000774.1,Parvibaculum lavamentivorans DS-1 complete genome. [24-FEB-2017],Parvibaculum lavamentivorans,
ENA|CP009761|CP009761.1,Parvimonas micra strain KCOM 1535 complete genome. [24-FEB-2017],Parvimonas micra,
ENA|CP002156|CP002156.1,Parvularcula bermudensis HTCC2503 strain HTCC2503 complete genome. [24-FEB-2017],Parvularcula bermudensis,
ENA|CP008918|CP008918.1,Pasteurella multocida strain ATCC 43137 complete genome. [13-NOV-2015],Pasteurella multocida,
ENA|CP003022|CP003022.1,Pasteurella multocida 36950 complete genome. [24-FEB-2017],Pasteurella multocida,
ENA|CP004392|CP004392.1,Pasteurella multocida OH1905 complete genome. [11-NOV-2016],Pasteurella multocida,
ENA|CP004391|CP004391.1,Pasteurella multocida subsp. multocida OH4807 complete genome. [24-FEB-2017],Pasteurella multocida,
ENA|CP001409|CP001409.1,Pasteurella multocida subsp. multocida str. 3480 complete genome. [13-NOV-2015],Pasteurella multocida,
ENA|CP003328|CP003328.1,Pasteurella multocida subsp. multocida str. HB03 complete genome. [13-NOV-2015],Pasteurella multocida,
ENA|CP003313|CP003313.1,Pasteurella multocida subsp. multocida str. HN06 complete genome. [13-NOV-2015],Pasteurella multocida,
ENA|AE004439|AE004439.1,Pasteurella multocida subsp. multocida str. Pm70 complete genome. [24-FEB-2017],Pasteurella multocida,
ENA|CP007744|CP007744.1,Pectobacterium atrosepticum strain JG10-08 complete genome. [11-NOV-2016],Pectobacterium atrosepticum,
ENA|CP009125|CP009125.1,Pectobacterium atrosepticum strain 21A complete genome. [11-NOV-2016],Pectobacterium atrosepticum,
ENA|CP001657|CP001657.1,Pectobacterium carotovorum subsp. carotovorum PC1 complete genome. [24-FEB-2017],Pectobacterium carotovorum,
ENA|CP003776|CP003776.1,Pectobacterium carotovorum subsp. carotovorum PCC21 complete genome. [24-FEB-2017],Pectobacterium carotovorum,
ENA|CP009678|CP009678.1,Pectobacterium carotovorum subsp. odoriferum strain BC S7 complete genome. [11-NOV-2016],Pectobacterium carotovorum,
ENA|CP003415|CP003415.1,Pectobacterium sp. SCC3193 complete genome. [24-FEB-2017],Pectobacterium sp. SCC3193,
ENA|CP001790|CP001790.1,Pectobacterium wasabiae WPP163 complete genome. [24-FEB-2017],Pectobacterium wasabiae,
ENA|CP003137|CP003137.1,Pediococcus claussenii ATCC BAA-344 complete genome. [24-FEB-2017],Pediococcus claussenii,
ENA|CP000422|CP000422.1,Pediococcus pentosaceus ATCC 25745 complete genome. [24-FEB-2017],Pediococcus pentosaceus,
ENA|CP006854|CP006854.1,Pediococcus pentosaceus SL4 complete genome. [13-NOV-2015],Pediococcus pentosaceus,
ENA|CP001681|CP001681.1,Pedobacter heparinus DSM 2366 complete genome. [24-FEB-2017],Pedobacter heparinus,
ENA|CP003075|CP003075.1,Pelagibacterium halotolerans B2 complete genome. [24-FEB-2017],Pelagibacterium halotolerans,
ENA|CP000142|CP000142.2,Pelobacter carbinolicus DSM 2380 complete genome. [24-FEB-2017],Pelobacter carbinolicus,
ENA|CP000482|CP000482.1,Pelobacter propionicus DSM 2379 complete genome. [24-FEB-2017],Pelobacter propionicus,
ENA|CP001110|CP001110.1,Pelodictyon phaeoclathratiforme BU-1 complete genome. [24-FEB-2017],Pelodictyon phaeoclathratiforme,
ENA|CP010978|CP010978.1,Pelosinus fermentans JBW45 complete genome. [24-FEB-2017],Pelosinus fermentans,
ENA|CP008852|CP008852.1,Pelosinus sp. UFO1 complete genome. [24-FEB-2017],Pelosinus sp. UFO1,
ENA|AP009389|AP009389.1,Pelotomaculum thermopropionicum SI DNA complete genome. [24-FEB-2017],Pelotomaculum thermopropionicum,
ENA|CP001230|CP001230.1,Persephonella marina EX-H1 complete genome. [24-FEB-2017],Persephonella marina,
ENA|CP000879|CP000879.1,Petrotoga mobilis SJ95 complete genome. [24-FEB-2017],Petrotoga mobilis,
ENA|CP002972|CP002972.1,Phaeobacter gallaeciensis 2.10 complete genome. [24-FEB-2017],Phaeobacter gallaeciensis,
ENA|CP006966|CP006966.1,Phaeobacter gallaeciensis DSM 26640 complete genome. [24-FEB-2017],Phaeobacter gallaeciensis,
ENA|CP002976|CP002976.1,Phaeobacter inhibens DSM 17395 complete genome. [24-FEB-2017],Phaeobacter inhibens,
ENA|CP000747|CP000747.1,Phenylobacterium zucineum HLK1 complete genome. [24-FEB-2017],Phenylobacterium zucineum,
ENA|FM162591|FM162591.1,Photorhabdus asymbiotica ATCC43949 complete genome [24-FEB-2017],Photorhabdus asymbiotica,
ENA|AP012338|AP012338.1,Phycisphaera mikurensis NBRC 102666 DNA complete genome. [24-FEB-2017],Phycisphaera mikurensis,
ENA|CP001848|CP001848.1,Pirellula staleyi DSM 6068 complete genome. [24-FEB-2017],Pirellula staleyi,
ENA|CP003984|CP003984.1,Planktomarina temperata RCA23 complete genome. [24-FEB-2017],Planktomarina temperata,
ENA|CP009129|CP009129.1,Planococcus sp. PAMC 21323 complete genome. [24-FEB-2017],Planococcus sp. PAMC 21323,
ENA|AP012551|AP012551.1,Plautia stali symbiont DNA complete genome. [24-FEB-2017],Plautia stali symbiont,
ENA|CP009450|CP009450.1,Pluralibacter gergoviae strain FB2 complete genome. [11-NOV-2016],Pluralibacter gergoviae,
ENA|CP004349|CP004349.1,Polaribacter sp. MED152 complete genome. [24-FEB-2017],Polaribacter sp. MED152,
ENA|CP000529|CP000529.1,Polaromonas naphthalenivorans CJ2 complete genome. [24-FEB-2017],Polaromonas naphthalenivorans,
ENA|CP000316|CP000316.1,Polaromonas sp. JS666 complete genome. [24-FEB-2017],Polaromonas sp. JS666,
ENA|CP002568|CP002568.1,Polymorphum gilvum SL003B-26A1 complete genome. [24-FEB-2017],Polymorphum gilvum,
ENA|CP000655|CP000655.1,Polynucleobacter necessarius subsp. asymbioticus QLW-P1DMWA-1 complete genome. [24-FEB-2017],Polynucleobacter necessarius,
ENA|CP001010|CP001010.1,Polynucleobacter necessarius subsp. necessarius STIR1 complete genome. [24-FEB-2017],Polynucleobacter necessarius,
ENA|CP009621|CP009621.1,Pontibacter korlensis strain X14-1T complete genome. [24-FEB-2017],Pontibacter korlensis,
ENA|CP002689|CP002689.1,Porphyromonas asaccharolytica DSM 20707 complete genome. [24-FEB-2017],Porphyromonas asaccharolytica,
ENA|AP009380|AP009380.1,Porphyromonas gingivalis ATCC 33277 DNA complete genome. [24-FEB-2017],Porphyromonas gingivalis,
ENA|AP012203|AP012203.1,Porphyromonas gingivalis TDC60 DNA complete genome. [24-FEB-2017],Porphyromonas gingivalis,
ENA|AE015924|AE015924.1,Porphyromonas gingivalis W83 complete genome. [24-FEB-2017],Porphyromonas gingivalis,
ENA|CP002589|CP002589.1,Prevotella denticola F0289 complete genome. [24-FEB-2017],Prevotella denticola,
ENA|CP002122|CP002122.1,Prevotella melaninogenica ATCC 25845 chromosome I complete sequence. [24-FEB-2017],Prevotella melaninogenica,
ENA|CP002123|CP002123.1,Prevotella melaninogenica ATCC 25845 chromosome II complete sequence. [24-FEB-2017],Prevotella melaninogenica,
ENA|CP002006|CP002006.1,Prevotella ruminicola 23 complete genome. [24-FEB-2017],Prevotella ruminicola,
ENA|CP003666|CP003666.1,Prevotella sp. oral taxon 299 str. F0039 complete genome. [24-FEB-2017],Prevotella sp. oral taxon 299,
ENA|CP000551|CP000551.1,Prochlorococcus marinus str. AS9601 complete genome. [24-FEB-2017],Prochlorococcus marinus,
ENA|CP000878|CP000878.1,Prochlorococcus marinus str. MIT 9211 genome. [08-MAY-2017],Prochlorococcus marinus,
ENA|CP000825|CP000825.1,Prochlorococcus marinus str. MIT 9215 complete genome. [24-FEB-2017],Prochlorococcus marinus,
ENA|CP000576|CP000576.1,Prochlorococcus marinus str. MIT 9301 complete genome. [24-FEB-2017],Prochlorococcus marinus,
ENA|CP000554|CP000554.1,Prochlorococcus marinus str. MIT 9303 complete genome. [24-FEB-2017],Prochlorococcus marinus,
ENA|CP000111|CP000111.1,Prochlorococcus marinus str. MIT 9312 complete genome. [24-FEB-2017],Prochlorococcus marinus,
ENA|BX548175|BX548175.1,Prochlorococcus marinus MIT9313 complete genome [24-FEB-2017],Prochlorococcus marinus,
ENA|CP000552|CP000552.1,Prochlorococcus marinus str. MIT 9515 complete genome. [24-FEB-2017],Prochlorococcus marinus,
ENA|CP000553|CP000553.1,Prochlorococcus marinus str. NATL1A complete genome. [24-FEB-2017],Prochlorococcus marinus,
ENA|CP000095|CP000095.2,Prochlorococcus marinus str. NATL2A complete genome. [24-FEB-2017],Prochlorococcus marinus,
ENA|AE017126|AE017126.1,Prochlorococcus marinus subsp. marinus str. CCMP1375 complete genome. [24-FEB-2017],Prochlorococcus marinus,
ENA|BX548174|BX548174.1,Prochlorococcus marinus MED4 complete genome. [24-FEB-2017],Prochlorococcus marinus,
ENA|CP007753|CP007753.1,Prochlorococcus sp. MIT 0604 complete genome. [24-FEB-2017],Prochlorococcus sp. MIT 0604,
ENA|CP007754|CP007754.1,Prochlorococcus sp. MIT 0801 complete genome. [24-FEB-2017],Prochlorococcus sp. MIT 0801,
ENA|CP003493|CP003493.1,Propionibacterium acidipropionici ATCC 4875 complete genome. [24-FEB-2017],Propionibacterium acidipropionici,
ENA|CP002409|CP002409.1,Propionibacterium acnes 266 complete genome. [24-FEB-2017],Propionibacterium acnes,
ENA|CP002815|CP002815.1,Propionibacterium acnes 6609 complete genome. [24-FEB-2017],Propionibacterium acnes,
ENA|CP003084|CP003084.1,Propionibacterium acnes ATCC 11828 complete genome. [24-FEB-2017],Propionibacterium acnes,
ENA|CP003877|CP003877.1,Propionibacterium acnes C1 complete genome. [24-FEB-2017],Propionibacterium acnes,
ENA|CP006032|CP006032.1,Propionibacterium acnes hdn-1 complete genome. [24-FEB-2017],Propionibacterium acnes,
ENA|CP003293|CP003293.1,Propionibacterium acnes HL096PA1 complete genome. [24-FEB-2017],Propionibacterium acnes,
ENA|AE017283|AE017283.1,Propionibacterium acnes KPA171202 complete genome. [24-FEB-2017],Propionibacterium acnes,
ENA|CP001977|CP001977.1,Propionibacterium acnes SK137 complete genome. [24-FEB-2017],Propionibacterium acnes,
ENA|CP003196|CP003196.1,Propionibacterium acnes TypeIA2 P.acn17 complete genome. [24-FEB-2017],Propionibacterium acnes,
ENA|CP003197|CP003197.1,Propionibacterium acnes TypeIA2 P.acn31 complete genome. [24-FEB-2017],Propionibacterium acnes,
ENA|CP003195|CP003195.1,Propionibacterium acnes TypeIA2 P.acn33 complete genome. [24-FEB-2017],Propionibacterium acnes,
ENA|CP005287|CP005287.1,Propionibacterium avidum 44067 complete genome. [11-NOV-2016],Propionibacterium avidum,
ENA|CP010341|CP010341.1,Propionibacterium freudenreichii subsp. freudenreichii strain DSM 20271 complete genome. [24-FEB-2017],Propionibacterium freudenreichii,
ENA|FN806773|FN806773.1,Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1 complete genome [24-FEB-2017],Propionibacterium freudenreichii,
ENA|CP002734|CP002734.1,Propionibacterium propionicum F0230a complete genome. [24-FEB-2017],Propionibacterium propionicum,
ENA|CP001108|CP001108.1,Prosthecochloris aestuarii DSM 271 complete genome. [24-FEB-2017],Prosthecochloris aestuarii,
ENA|AM942759|AM942759.1,Proteus mirabilis strain HI4320 complete genome [24-FEB-2017],Proteus mirabilis,
ENA|CP004022|CP004022.1,Proteus mirabilis BB2000 complete genome. [11-NOV-2016],Proteus mirabilis,
ENA|GQ463139|GQ463139.1,Providencia alcalifaciens Ban1 integrating conjugative element ICEPalban1 complete sequence. [24-FEB-2017],Providencia alcalifaciens,
ENA|CP008920|CP008920.1,Providencia stuartii strain ATCC 33672 complete genome. [11-NOV-2016],Providencia stuartii,
ENA|CP003488|CP003488.1,Providencia stuartii MRSN 2154 complete genome. [24-FEB-2017],Providencia stuartii,
ENA|CP003592|CP003592.1,Pseudanabaena sp. PCC 7367 complete genome. [24-FEB-2017],Pseudanabaena sp. PCC 7367,
ENA|CP000388|CP000388.1,Pseudoalteromonas atlantica T6c complete genome. [24-FEB-2017],Pseudoalteromonas atlantica,
ENA|CR954246|CR954246.1,Pseudoalteromonas haloplanktis str. TAC125 chromosome I complete sequence. [24-FEB-2017],Pseudoalteromonas haloplanktis,
ENA|CR954247|CR954247.1,Pseudoalteromonas haloplanktis str. TAC125 chromosome II complete sequence. [24-FEB-2017],Pseudoalteromonas haloplanktis,
ENA|CP001796|CP001796.1,Pseudoalteromonas sp. SM9913 chromosome I complete sequence. [24-FEB-2017],Pseudoalteromonas sp. SM9913,
ENA|CP001797|CP001797.1,Pseudoalteromonas sp. SM9913 chromosome II complete sequence. [24-FEB-2017],Pseudoalteromonas sp. SM9913,
ENA|AP012224|AP012224.1,Pseudogulbenkiania sp. NH8B DNA complete genome. [24-FEB-2017],Pseudogulbenkiania sp. NH8B,
ENA|AP014622|AP014622.1,Pseudomonas aeruginosa DNA complete genome strain: NCGM 1900. [11-MAY-2017],Pseudomonas aeruginosa,
ENA|AP014646|AP014646.1,Pseudomonas aeruginosa DNA complete genome strain: NCGM 1984. [09-SEP-2016],Pseudomonas aeruginosa,
ENA|CP007399|CP007399.1,Pseudomonas aeruginosa strain F22031 complete genome. [11-NOV-2016],Pseudomonas aeruginosa,
ENA|CP010555|CP010555.1,Pseudomonas aeruginosa strain FRD1 complete genome. [11-NOV-2016],Pseudomonas aeruginosa,
ENA|CP011317|CP011317.1,Pseudomonas aeruginosa strain Carb01 63 complete genome. [11-NOV-2016],Pseudomonas aeruginosa,
ENA|CP004061|CP004061.1,Pseudomonas aeruginosa B136-33 complete genome. [13-NOV-2015],Pseudomonas aeruginosa,
ENA|CP003149|CP003149.1,Pseudomonas aeruginosa DK2 complete genome. [11-NOV-2016],Pseudomonas aeruginosa,
ENA|CP006937|CP006937.1,Pseudomonas aeruginosa LES431 complete genome. [13-NOV-2015],Pseudomonas aeruginosa,
ENA|FM209186|FM209186.1,Pseudomonas aeruginosa LESB58 complete genome sequence [24-FEB-2017],Pseudomonas aeruginosa,
ENA|CP002496|CP002496.1,Pseudomonas aeruginosa M18 complete genome. [13-NOV-2015],Pseudomonas aeruginosa,
ENA|CP006853|CP006853.1,Pseudomonas aeruginosa MTB-1 complete genome. [24-FEB-2017],Pseudomonas aeruginosa,
ENA|AP012280|AP012280.1,Pseudomonas aeruginosa NCGM2.S1 DNA complete genome. [11-MAY-2017],Pseudomonas aeruginosa,
ENA|CP004054|CP004054.2,Pseudomonas aeruginosa PA1 complete genome. [23-JUN-2016],Pseudomonas aeruginosa,
ENA|CP004055|CP004055.1,Pseudomonas aeruginosa PA1R complete genome. [09-SEP-2016],Pseudomonas aeruginosa,
ENA|CP000744|CP000744.1,Pseudomonas aeruginosa PA7 complete genome. [24-FEB-2017],Pseudomonas aeruginosa,
ENA|HG530068|HG530068.1,Pseudomonas aeruginosa PA38182 complete genome [13-NOV-2015],Pseudomonas aeruginosa,
ENA|AE004091|AE004091.2,Pseudomonas aeruginosa PAO1 complete genome. [24-FEB-2017],Pseudomonas aeruginosa,
ENA|CP006245|CP006245.1,Pseudomonas aeruginosa RP73 complete genome. [13-NOV-2015],Pseudomonas aeruginosa,
ENA|CP006931|CP006931.1,Pseudomonas aeruginosa SCV20265 complete genome. [13-NOV-2015],Pseudomonas aeruginosa,
ENA|CP000438|CP000438.1,Pseudomonas aeruginosa UCBPP-PA14 complete genome. [24-FEB-2017],Pseudomonas aeruginosa,
ENA|CP008739|CP008739.2,Pseudomonas aeruginosa VRFPA04 complete genome. [24-FEB-2017],Pseudomonas aeruginosa,
ENA|CP007147|CP007147.1,Pseudomonas aeruginosa YL84 complete genome. [13-NOV-2015],Pseudomonas aeruginosa,
ENA|CP009048|CP009048.1,Pseudomonas alkylphenolia strain KL28 complete genome. [24-FEB-2017],Pseudomonas alkylphenolia,
ENA|CP007511|CP007511.1,Pseudomonas balearica DSM 6083 complete genome. [11-NOV-2016],Pseudomonas balearica,
ENA|CP007410|CP007410.1,Pseudomonas brassicacearum strain DF41 complete genome. [24-FEB-2017],Pseudomonas brassicacearum,
ENA|CP002585|CP002585.1,Pseudomonas brassicacearum subsp. brassicacearum NFM421 complete genome. [24-FEB-2017],Pseudomonas brassicacearum,
ENA|CP008696|CP008696.1,Pseudomonas chlororaphis strain PA23 complete genome. [24-FEB-2017],Pseudomonas chlororaphis,
